iter	MultiClass
269	0.4445705509
270	0.4442180952
271	0.4434077201
272	0.4421128066
273	0.441486485
274	0.4409662824
275	0.4402235381
276	0.4397137834
277	0.4393721111
278	0.438761086
279	0.4382847649
280	0.4376184825
281	0.437106792
282	0.4362483306
283	0.4355731206
284	0.4351729751
285	0.4347298345
286	0.4342052508
287	0.4339406675
288	0.433544757
289	0.4326165346
290	0.432282284
291	0.431972622
292	0.4312024614
293	0.4303231045
294	0.4289124643
295	0.4284759161
296	0.4278081328
297	0.4272211593
298	0.426826037
299	0.4262190018
300	0.4254950011
301	0.424850087
302	0.4244777487
303	0.4240543486
304	0.4236357888
305	0.4232283019
306	0.4226509851
307	0.422061158
308	0.4213419063
309	0.4208424864
310	0.4205597037
311	0.4200189347
312	0.419481125
313	0.4190409159
314	0.4180667749
315	0.4176535846
316	0.4169081013
317	0.4163076517
318	0.4158487364
319	0.4155608552
320	0.4148738596
321	0.4145894081
322	0.4139320636
323	0.4134342378
324	0.4130658599
325	0.4128398048
326	0.4123366206
327	0.4121081772
328	0.4115119375
329	0.4109481583
330	0.410263484
331	0.4095743589
332	0.4092970313
333	0.4088408775
334	0.4081630044
335	0.4078201585
336	0.4072066237
337	0.4068635316
338	0.406231151
339	0.4058147983
340	0.4053470523
341	0.4046939789
342	0.404356977
343	0.4037932847
344	0.4035669835
345	0.4033054248
346	0.4030063892
347	0.402303331
348	0.4016871074
349	0.401104192
350	0.4009600691
351	0.4000485731
352	0.3996272733
353	0.3992389035
354	0.3988737513
355	0.398402786
356	0.3979609504
357	0.3976025917
358	0.3973224555
359	0.3969649063
360	0.3963505848
361	0.3957920548
362	0.3953087054
363	0.3945155903
364	0.3940871551
365	0.393719536
366	0.3933393957
367	0.3929581437
368	0.3926259185
369	0.3920785456
370	0.3917429198
371	0.391559007
372	0.391125524
373	0.3906646701
374	0.3901804367
375	0.3899037823
376	0.389448128
377	0.3891033303
378	0.3885113344
379	0.3881920272
380	0.3876555042
381	0.387228843
382	0.3867438778
383	0.386516877
384	0.386175039
385	0.3858451018
386	0.3854727062
387	0.3851026574
388	0.3848205974
389	0.3844769981
390	0.3840791693
391	0.383486371
392	0.3831247446
393	0.3826986348
394	0.3820221474
395	0.3816032499
396	0.3812774592
397	0.3810311174
398	0.3807334753
399	0.3804080352
400	0.3800783043
401	0.3795111916
402	0.3788028417
403	0.3785642704
404	0.3782622184
405	0.3777994265
406	0.3775661906
407	0.3770702137
408	0.3767133875
409	0.3764809995
410	0.3761279315
411	0.3756751389
412	0.3754023292
413	0.3752327607
414	0.3748777392
415	0.3744147199
416	0.3739700898
417	0.3734310388
418	0.3730340834
419	0.3727578554
420	0.3723932478
421	0.3720427769
422	0.3714967193
423	0.3711144529
424	0.3707167328
425	0.3701371946
426	0.3698085232
427	0.3694635613
428	0.369120804
429	0.36874263
430	0.36841861
431	0.3679936718
432	0.3677092119
433	0.3674406439
434	0.3667344996
435	0.3659078014
436	0.3656592035
437	0.364941848
438	0.3645995928
439	0.3643007114
440	0.363934152
441	0.3635353597
442	0.3629684001
443	0.3627078472
444	0.3622982253
445	0.3620580184
446	0.3617919465
447	0.3613547908
448	0.3610641844
449	0.3605576387
450	0.36027467
451	0.3598270502
452	0.3594432502
453	0.3590879996
454	0.3588308581
455	0.3584308691
456	0.3580902762
457	0.3576383885
458	0.3572430719
459	0.3569151121
460	0.3565171547
461	0.3559052231
462	0.3556361325
463	0.35517349
464	0.3545868169
465	0.3541037946
466	0.3538423922
467	0.3532129608
468	0.3529286455
469	0.3527187553
470	0.3523499175
471	0.3516076118
472	0.3512418316
473	0.3509896036
474	0.3505298363
475	0.3501422152
476	0.349575502
477	0.3492055675
478	0.3488536365
479	0.3485736435
480	0.3482609364
481	0.347807997
482	0.3476711809
483	0.347300487
484	0.3469012041
485	0.3465763179
486	0.3462172656
487	0.3458751932
488	0.3456490081
489	0.3452873564
490	0.3449423316
491	0.3446797367
492	0.3444570667
493	0.343940543
494	0.3435410397
495	0.3431758491
496	0.342780647
497	0.3425111366
498	0.3420891484
499	0.341855112
500	0.3416512171
501	0.3412352604
502	0.3408017422
503	0.3404861793
504	0.34012886
505	0.3398932884
506	0.3395973506
507	0.3393423645
508	0.3389298235
509	0.3386487764
510	0.3382749018
511	0.3379248973
512	0.3375099814
513	0.3371479464
514	0.3368363058
515	0.3364646575
516	0.3361122549
517	0.3358700853
518	0.3355906199
519	0.335255125
520	0.3349445676
521	0.3347377213
522	0.334526681
523	0.3342943903
524	0.3338885572
525	0.3336092221
526	0.3331924044
527	0.3329994296
528	0.3326707892
529	0.3324114052
530	0.3319819418
531	0.3317482626
532	0.3313713575
533	0.3311719466
534	0.3310083168
535	0.3308265967
536	0.3306234636
537	0.3304233321
538	0.3301302043
539	0.3295470767
540	0.3291198383
541	0.3287666119
542	0.3285764009
543	0.3282491595
544	0.3281248503
545	0.3278720964
546	0.3276023327
547	0.3273462477
548	0.3271169543
549	0.3268019526
550	0.326519894
551	0.3262684041
552	0.3259299844
553	0.3253021483
554	0.3248189891
555	0.3244945328
556	0.3241329662
557	0.3237339625
558	0.3235408315
559	0.323256298
560	0.3230637363
561	0.3228469781
562	0.3223939086
563	0.3216069923
564	0.3213292487
565	0.3211483609
566	0.3207843675
567	0.3204208323
568	0.3200047165
569	0.3198081795
570	0.3195250097
571	0.319292705
572	0.319185258
573	0.3188938546
574	0.3186579311
575	0.318255209
576	0.3179881031
577	0.3176821107
578	0.3173142137
579	0.3169730306
580	0.3165422755
581	0.3163809878
582	0.3160425719
583	0.3156723566
584	0.3153358327
585	0.3149574812
586	0.3148045513
587	0.3147068412
588	0.3142385921
589	0.3140254952
590	0.3137245387
591	0.3133685948
592	0.3129064842
593	0.3126315918
594	0.3124884096
595	0.3122550508
596	0.3121146929
597	0.3118801317
598	0.311417253
599	0.3109246403
600	0.3105791255
601	0.3103414872
602	0.3101198167
603	0.3094661354
604	0.308961851
605	0.3087235519
606	0.308554472
607	0.3082853538
608	0.3079529969
609	0.3076873298
610	0.3073880886
611	0.3072144869
612	0.3070101404
613	0.3065813383
614	0.3060953387
615	0.305897557
616	0.3057016709
617	0.3053418762
618	0.3049998718
619	0.3047524931
620	0.3045350194
621	0.304342515
622	0.3040378172
623	0.3036535626
624	0.3032803045
625	0.302819808
626	0.3026569382
627	0.302399456
628	0.3020509587
629	0.3017085403
630	0.3014829587
631	0.3011730622
632	0.3008091045
633	0.3004400802
634	0.3002749039
635	0.3000210515
636	0.2997554601
637	0.2995113805
638	0.2992226195
639	0.298773854
640	0.2984922298
641	0.2982324177
642	0.2979616039
643	0.297683588
644	0.2972859205
645	0.2969340573
646	0.2965771629
647	0.2962623401
648	0.2960311867
649	0.2957186458
650	0.2955306349
651	0.29524923
652	0.29475047
653	0.294205298
654	0.2939585963
655	0.2937263303
656	0.2935043128
657	0.293286506
658	0.2929772966
659	0.2925298467
660	0.2922765692
661	0.2919088027
662	0.2917062937
663	0.2912565632
664	0.2909696616
665	0.2907152073
666	0.2905054057
667	0.2898151276
668	0.289317181
669	0.2891035761
670	0.2886976598
671	0.2883552199
672	0.2881277869
673	0.2879893383
674	0.2876679168
675	0.2874447724
676	0.2870652792
677	0.286808602
678	0.2866247124
679	0.2864602693
680	0.2861538423
681	0.2859449324
682	0.2857899842
683	0.2855509333
684	0.2854025493
685	0.2852200484
686	0.2851147549
687	0.2847569311
688	0.2843095817
689	0.283942244
690	0.2837067356
691	0.2834975106
692	0.2830765112
693	0.2826759532
694	0.2824727844
695	0.2821428857
696	0.2818071119
697	0.2816728402
698	0.2813900992
699	0.2812051872
700	0.2809787956
701	0.280746882
702	0.2804187393
703	0.2798674666
704	0.2796900176
705	0.2795946188
706	0.2791966667
707	0.2790512143
708	0.2787610791
709	0.2784469905
710	0.2782424904
711	0.278120869
712	0.2779969105
713	0.2776573849
714	0.2774855483
715	0.277339362
716	0.2772243723
717	0.2770262386
718	0.2767941253
719	0.2764436137
720	0.2761883813
721	0.2758279879
722	0.275603356
723	0.2753330079
724	0.275000359
725	0.2748399466
726	0.2745017732
727	0.2741428583
728	0.2738668765
729	0.2735934189
730	0.2732791917
731	0.2731172228
732	0.2729101933
733	0.2726385142
734	0.2723330228
735	0.2720098732
736	0.2717560749
737	0.2715563872
738	0.2713631122
739	0.271156293
740	0.27093235
741	0.2707736062
742	0.2706734285
743	0.270418349
744	0.2701587801
745	0.2698542257
746	0.2695444873
747	0.269398857
748	0.2691505704
749	0.269021664
750	0.268824027
751	0.2686162117
752	0.2684758471
753	0.2681432878
754	0.2679799885
755	0.2674731771
756	0.2671462767
757	0.2668480719
758	0.2666378012
759	0.2664219349
760	0.2663081804
761	0.266098762
762	0.2657527785
763	0.265542881
764	0.2652606472
765	0.2648755183
766	0.264720069
767	0.2644017238
768	0.2641193276
769	0.2638867323
770	0.2634597042
771	0.2632430941
772	0.2630915045
773	0.2628431765
774	0.2626558907
775	0.2623799378
776	0.2622138982
777	0.2619003988
778	0.2616787562
779	0.2615113177
780	0.2613271593
781	0.261072718
782	0.2607622638
783	0.2606276258
784	0.260449661
785	0.2602242646
786	0.2600179838
787	0.2598543806
788	0.2595624148
789	0.2592978044
790	0.2591845779
791	0.2589511079
792	0.2587202097
793	0.2584932212
794	0.2582667611
795	0.2579771673
796	0.2578258006
797	0.2576156747
798	0.2573756811
799	0.2572105672
800	0.2570580189
801	0.2568829951
802	0.2567125157
803	0.2564803497
804	0.256220957
805	0.2560356441
806	0.2558372086
807	0.2556458244
808	0.2553258684
809	0.2550412063
810	0.2548868607
811	0.2547338908
812	0.2546180056
813	0.2544381907
814	0.2538648564
815	0.2536167197
816	0.2532800272
817	0.2531029695
818	0.2530066474
819	0.2528809046
820	0.2526504331
821	0.2525084692
822	0.2522652768
823	0.2519057267
824	0.2517132258
825	0.2514664109
826	0.2513488663
827	0.2511270981
828	0.2508920114
829	0.2507410638
830	0.2506333837
831	0.2504381146
832	0.2502147365
833	0.2501055356
834	0.2499786957
835	0.2497277929
836	0.2494381648
837	0.2492997088
838	0.2490938386
839	0.2487669585
840	0.2486090423
841	0.2483706496
842	0.2482562775
843	0.2480474563
844	0.2477828858
845	0.2475456501
846	0.2473896884
847	0.247221916
848	0.2469899284
849	0.2468413282
850	0.2467183999
851	0.2466019729
852	0.2464073988
853	0.2461097396
854	0.2459079814
855	0.2456782044
856	0.2454833657
857	0.2452291238
858	0.244843117
859	0.2445431553
860	0.2443530937
861	0.2441293798
862	0.2439587562
863	0.2438483851
864	0.2437411424
865	0.2434715254
866	0.2432519132
867	0.2430126434
868	0.2426762915
869	0.2425379628
870	0.2423386243
871	0.2422657221
872	0.2421847129
873	0.2420286182
874	0.241939632
875	0.241824458
876	0.2416233735
877	0.2415025828
878	0.2413005246
879	0.2411230868
880	0.240958539
881	0.2407653475
882	0.2406024132
883	0.2404963357
884	0.2402862409
885	0.2401236441
886	0.2398778664
887	0.2397445119
888	0.2394988104
889	0.2393449063
890	0.2391665388
891	0.2389816859
892	0.2388725062
893	0.2386636429
894	0.2384498033
895	0.2383230206
896	0.2380088059
897	0.2379317509
898	0.2377949303
899	0.2374560611
900	0.2371754367
901	0.2369255982
902	0.2367969687
903	0.2364698794
904	0.2361019882
905	0.2358620035
906	0.2357885213
907	0.2355660892
908	0.2353168772
909	0.2350429245
910	0.2348727104
911	0.2346629062
912	0.2343860354
913	0.2341496871
914	0.2338592392
915	0.2336301125
916	0.2334704905
917	0.2332841521
918	0.2331566071
919	0.2329099438
920	0.2327522377
921	0.2326085179
922	0.2324027986
923	0.2322099314
924	0.2320152675
925	0.2317879935
926	0.2316165466
927	0.2314824286
928	0.2313819905
929	0.2310943483
930	0.2309196945
931	0.2304739153
932	0.2303994211
933	0.2302468362
934	0.2300734227
935	0.229997625
936	0.2297796617
937	0.2295678323
938	0.2294280754
939	0.2293061879
940	0.2291292412
941	0.2288153268
942	0.2286188347
943	0.2283327277
944	0.2280616515
945	0.2278606709
946	0.2275215585
947	0.2273408728
948	0.2272171353
949	0.2270568406
950	0.2268397685
951	0.2266246343
952	0.2265040476
953	0.2263337804
954	0.2261470511
955	0.2259465526
956	0.2255911027
957	0.2254800853
958	0.2252114309
959	0.2248866731
960	0.2247275263
961	0.224622591
962	0.2243194071
963	0.2242634924
964	0.2240037114
965	0.2238166837
966	0.2236016032
967	0.2233782655
968	0.2230253669
969	0.222788377
970	0.2226147693
971	0.2224324254
972	0.2221953686
973	0.2220329744
974	0.2218197632
975	0.2216434392
976	0.2213950053
977	0.2212174746
978	0.2211169457
979	0.2209377517
980	0.2207294498
981	0.2204963523
982	0.2203471258
983	0.2202080293
984	0.2199723388
985	0.219695927
986	0.2195558097
987	0.2193420962
988	0.2192024417
989	0.2190977995
990	0.218915082
991	0.2188155424
992	0.2185548587
993	0.218390261
994	0.2182028176
995	0.2180398111
996	0.2178443818
997	0.2176640479
998	0.2175161504
999	0.2173241211
