iter	Passed	Remaining
626	6945	4131
627	6955	4120
628	6967	4109
629	6977	4098
630	6987	4086
631	6997	4074
632	7008	4063
633	7018	4051
634	7028	4040
635	7038	4028
636	7048	4016
637	7058	4004
638	7068	3993
639	7079	3981
640	7089	3970
641	7099	3958
642	7110	3947
643	7122	3937
644	7148	3934
645	7170	3929
646	7185	3920
647	7198	3910
648	7208	3898
649	7218	3887
650	7229	3875
651	7239	3863
652	7249	3852
653	7259	3840
654	7269	3828
655	7279	3817
656	7289	3805
657	7299	3793
658	7310	3782
659	7319	3770
660	7330	3759
661	7340	3747
662	7349	3735
663	7360	3724
664	7370	3712
665	7379	3701
666	7390	3689
667	7400	3678
668	7411	3666
669	7421	3655
670	7431	3643
671	7441	3632
672	7451	3620
673	7461	3609
674	7473	3598
675	7485	3587
676	7496	3576
677	7508	3565
678	7518	3554
679	7528	3542
680	7538	3531
681	7548	3519
682	7558	3508
683	7569	3496
684	7578	3485
685	7588	3473
686	7598	3461
687	7608	3450
688	7619	3439
689	7629	3427
690	7640	3416
691	7650	3405
692	7660	3393
693	7672	3382
694	7682	3371
695	7695	3361
696	7708	3350
697	7718	3339
698	7728	3328
699	7738	3316
700	7748	3304
701	7760	3294
702	7773	3284
703	7783	3272
704	7793	3261
705	7803	3249
706	7813	3238
707	7823	3226
708	7833	3215
709	7843	3203
710	7853	3192
711	7863	3180
712	7873	3169
713	7883	3157
714	7893	3146
715	7903	3134
716	7912	3123
717	7922	3111
718	7933	3100
719	7943	3089
720	7953	3077
721	7963	3066
722	7973	3054
723	7983	3043
724	7993	3032
725	8003	3020
726	8014	3009
727	8024	2997
728	8034	2986
729	8044	2975
730	8054	2964
731	8064	2952
732	8074	2941
733	8084	2929
734	8094	2918
735	8104	2907
736	8114	2895
737	8125	2884
738	8135	2873
739	8145	2861
740	8154	2850
741	8164	2838
742	8174	2827
743	8184	2816
744	8194	2804
745	8204	2793
746	8215	2782
747	8225	2771
748	8235	2759
749	8245	2748
750	8255	2737
751	8265	2725
752	8275	2714
753	8285	2703
754	8295	2692
755	8306	2680
756	8316	2669
757	8326	2658
758	8337	2647
759	8372	2643
760	8387	2634
761	8402	2624
762	8412	2613
763	8424	2602
764	8440	2592
765	8456	2583
766	8468	2572
767	8479	2561
768	8489	2550
769	8499	2538
770	8509	2527
771	8519	2516
772	8529	2504
773	8539	2493
774	8549	2482
775	8559	2470
776	8569	2459
777	8579	2448
778	8589	2436
779	8599	2425
780	8609	2414
781	8619	2402
782	8629	2391
783	8639	2380
784	8649	2368
785	8659	2357
786	8669	2346
787	8679	2334
788	8688	2323
789	8699	2312
790	8709	2301
791	8719	2290
792	8729	2278
793	8739	2267
794	8749	2256
795	8759	2244
796	8769	2233
797	8779	2222
798	8789	2211
799	8799	2199
800	8809	2188
801	8819	2177
802	8829	2166
803	8839	2154
804	8849	2143
805	8859	2132
806	8869	2121
807	8879	2109
808	8889	2098
809	8899	2087
810	8909	2076
811	8920	2065
812	8930	2054
813	8945	2043
814	8962	2034
815	8976	2024
816	8989	2013
817	8999	2002
818	9008	1990
819	9018	1979
820	9028	1968
821	9039	1957
822	9049	1946
823	9059	1934
824	9069	1923
825	9079	1912
826	9089	1901
827	9098	1890
828	9108	1878
829	9118	1867
830	9128	1856
831	9138	1845
832	9148	1834
833	9158	1822
834	9168	1811
835	9178	1800
836	9188	1789
837	9198	1778
838	9208	1766
839	9217	1755
840	9228	1744
841	9237	1733
842	9247	1722
843	9257	1711
844	9267	1699
845	9277	1688
846	9287	1677
847	9297	1666
848	9307	1655
849	9317	1644
850	9328	1633
851	9337	1622
852	9347	1610
853	9358	1599
854	9367	1588
855	9377	1577
856	9387	1566
857	9398	1555
858	9410	1544
859	9422	1533
860	9437	1523
861	9448	1512
862	9458	1501
863	9468	1490
864	9478	1479
865	9487	1468
866	9498	1457
867	9508	1445
868	9519	1435
869	9529	1423
870	9539	1412
871	9549	1401
872	9559	1390
873	9569	1379
874	9579	1368
875	9601	1359
876	9634	1351
877	9648	1340
878	9662	1330
879	9672	1319
880	9683	1307
881	9694	1296
882	9704	1285
883	9714	1274
884	9724	1263
885	9735	1252
886	9746	1241
887	9756	1230
888	9767	1219
889	9777	1208
890	9787	1197
891	9798	1186
892	9807	1175
893	9817	1164
894	9828	1153
895	9837	1141
896	9848	1130
897	9858	1119
898	9868	1108
899	9879	1097
900	9889	1086
901	9900	1075
902	9910	1064
903	9920	1053
904	9932	1042
905	9943	1031
906	9953	1020
907	9964	1009
908	9974	998
909	9985	987
910	9996	976
911	10007	965
912	10016	954
913	10027	943
914	10038	932
915	10048	921
916	10058	910
917	10068	899
918	10079	888
919	10089	877
920	10100	866
921	10110	855
922	10120	844
923	10130	833
924	10140	822
925	10151	811
926	10161	800
927	10171	789
928	10181	778
929	10191	767
930	10200	756
931	10211	745
932	10221	734
933	10231	723
934	10242	712
935	10253	701
936	10264	690
937	10275	679
938	10286	668
939	10296	657
940	10307	646
941	10317	635
942	10328	624
943	10338	613
944	10349	602
945	10359	591
946	10378	580
947	10391	570
948	10404	559
949	10416	548
950	10427	537
951	10439	526
952	10449	515
953	10459	504
954	10470	493
955	10486	482
956	10505	472
957	10518	461
958	10528	450
959	10539	439
960	10549	428
961	10559	417
962	10571	406
963	10582	395
964	10596	384
965	10608	373
966	10619	362
967	10630	351
968	10640	340
969	10651	329
970	10661	318
971	10671	307
972	10682	296
973	10692	285
974	10702	274
975	10712	263
976	10721	252
977	10731	241
978	10741	230
979	10751	219
980	10761	208
981	10771	197
982	10781	186
983	10791	175
984	10801	164
985	10812	153
986	10822	142
987	10857	131
988	10872	120
989	10887	109
990	10898	98
991	10907	87
992	10918	76
993	10928	65
994	10939	54
995	10948	43
996	10958	32
997	10968	21
998	10978	10
999	10988	0
